region,price,year,manufacturer,Domestic,condition,cylinders,fuel,odometer,transmission,drive,size,type,paint_color
jacksonville,32950,2018,chevrolet,1,like new,8 cylinders,gas,57217,automatic,4wd,full-size,pickup,red
jacksonville,34495,2017,chevrolet,1,like new,8 cylinders,gas,36398,automatic,4wd,full-size,pickup,red
jacksonville,36495,2017,chevrolet,1,like new,8 cylinders,gas,28873,automatic,4wd,full-size,pickup,black
jacksonville,35495,2016,chevrolet,1,like new,8 cylinders,gas,38268,automatic,4wd,full-size,pickup,red
jacksonville,27895,2015,chevrolet,1,like new,8 cylinders,gas,101987,automatic,4wd,full-size,pickup,black
jacksonville,20950,2015,chevrolet,1,like new,8 cylinders,gas,104433,automatic,rwd,full-size,pickup,silver
jacksonville,27950,2014,chevrolet,1,like new,8 cylinders,gas,112345,automatic,4wd,full-size,pickup,blue
jacksonville,26000,2016,chevrolet,1,new,4 cylinders,gas,29500,automatic,rwd,mid-size,truck,custom
jacksonville,1950,2004,chrysler,1,good,6 cylinders,gas,127074,automatic,fwd,mid-size,sedan,red
jacksonville,3999,2001,toyota,0,excellent,6 cylinders,gas,159000,automatic,fwd,full-size,mini-van,blue
jacksonville,34950,2019,chevrolet,1,excellent,8 cylinders,gas,42125,automatic,4wd,full-size,truck,white
jacksonville,36495,2017,chevrolet,1,excellent,8 cylinders,gas,37473,automatic,4wd,full-size,truck,silver
jacksonville,36395,2017,chevrolet,1,like new,8 cylinders,gas,36482,automatic,4wd,full-size,truck,black
jacksonville,9900,2013,nissan,0,excellent,6 cylinders,gas,127272,automatic,fwd,full-size,sedan,silver
jacksonville,15900,2012,ford,1,excellent,8 cylinders,gas,100757,automatic,rwd,full-size,SUV,brown
jacksonville,21900,2012,ram,1,excellent,6 cylinders,diesel,65795,automatic,rwd,full-size,truck,white
jacksonville,10900,2012,volkswagen,0,excellent,4 cylinders,gas,70930,automatic,fwd,full-size,SUV,black
jacksonville,16900,2020,kia,0,like new,4 cylinders,gas,19515,automatic,fwd,full-size,sedan,grey
jacksonville,38495,2017,ford,1,like new,8 cylinders,gas,28000,automatic,rwd,full-size,truck,black
jacksonville,4900,2009,mini,0,good,4 cylinders,gas,103775,manual,fwd,compact,hatchback,white
jacksonville,1900,2009,volkswagen,0,good,4 cylinders,gas,18823,automatic,fwd,full-size,hatchback,grey
jacksonville,4200,2006,infiniti,0,like new,6 cylinders,gas,169359,automatic,4wd,mid-size,sedan,white
jacksonville,4999,2008,lexus,0,like new,6 cylinders,gas,256500,automatic,fwd,mid-size,sedan,black
jacksonville,8500,2011,toyota,0,excellent,6 cylinders,gas,170040,automatic,fwd,mid-size,mini-van,grey
jacksonville,47795,2019,ram,1,like new,8 cylinders,gas,16101,automatic,4wd,full-size,truck,black
jacksonville,5800,2013,fiat,0,good,4 cylinders,gas,74500,automatic,fwd,compact,hatchback,orange
jacksonville,26500,2016,ford,1,excellent,8 cylinders,diesel,206354,automatic,4wd,full-size,truck,white
jacksonville,33900,2015,chevrolet,1,excellent,8 cylinders,gas,94990,automatic,4wd,full-size,truck,white
jacksonville,33900,2015,chevrolet,1,excellent,8 cylinders,gas,94990,automatic,4wd,full-size,truck,white
jacksonville,27500,2011,ford,1,excellent,8 cylinders,diesel,152965,automatic,4wd,full-size,truck,white
